date,time,crime_type,city,state,location_description,victim_age,victim_gender,victim_race,year,month,day,dia_sem,hora,franja_horaria,month_name,solo_calle
2022-09-09,18:58:57,Homicide,Philadelphia,PA,9916 Broadway,34,Male,Other,2022,9,9,viernes,18,noche,septiembre,Broadway
2022-07-10,12:10:59,Assault,Phoenix,AZ,6853 Oak St,13,Female,Black,2022,7,10,domingo,12,tarde,julio,Oak St
2024-12-31,09:26:12,Burglary,San Antonio,TX,3760 Maple Ave,23,Male,Asian,2024,12,31,martes,9,mañana,diciembre,Maple Ave
2024-04-12,23:17:28,Vandalism,Philadelphia,PA,6781 Main St,36,Other,Asian,2024,4,12,viernes,23,noche,abril,Main St
2023-07-19,04:49:39,Fraud,San Antonio,TX,3239 Broadway,26,Other,Other,2023,7,19,miércoles,4,madrugada,julio,Broadway
2021-09-30,03:17:56,Drug Offense,Chicago,IL,635 Oak St,70,Non-binary,Other,2021,9,30,jueves,3,madrugada,septiembre,Oak St
2024-11-22,08:41:48,Homicide,Philadelphia,PA,2725 Pine St,48,Other,Asian,2024,11,22,viernes,8,mañana,noviembre,Pine St
2023-12-09,08:10:36,Drug Offense,Houston,TX,457 Pine St,47,Non-binary,Asian,2023,12,9,sábado,8,mañana,diciembre,Pine St
2020-08-06,04:13:54,Fraud,Houston,TX,7584 Oak St,28,Other,Black,2020,8,6,jueves,4,madrugada,agosto,Oak St
2024-04-09,07:18:22,Domestic Violence,San Diego,CA,9233 Main St,44,Female,White,2024,4,9,martes,7,mañana,abril,Main St
2023-03-11,02:36:36,Arson,New York,NY,9278 Elm St,29,Non-binary,Hispanic,2023,3,11,sábado,2,madrugada,marzo,Elm St
2023-04-13,22:33:27,Burglary,Chicago,IL,5313 Pine St,20,Female,Other,2023,4,13,jueves,22,noche,abril,Pine St
2022-07-27,12:36:44,Domestic Violence,New York,NY,6760 Oak St,30,Other,Hispanic,2022,7,27,miércoles,12,tarde,julio,Oak St
2022-02-03,00:03:33,Theft,San Diego,CA,9702 Elm St,17,Male,Other,2022,2,3,jueves,0,madrugada,febrero,Elm St
2020-09-04,06:02:52,Theft,Dallas,TX,786 Oak St,53,Other,White,2020,9,4,viernes,6,mañana,septiembre,Oak St
2022-10-08,05:15:36,Homicide,New York,NY,130 Main St,29,Male,Black,2022,10,8,sábado,5,madrugada,octubre,Main St
2021-05-03,18:08:12,Vandalism,Los Angeles,CA,1874 Elm St,90,Female,Asian,2021,5,3,lunes,18,noche,mayo,Elm St
2023-04-17,05:15:45,Robbery,Philadelphia,PA,8306 Pine St,39,Other,Asian,2023,4,17,lunes,5,madrugada,abril,Pine St
2024-04-21,08:11:18,Domestic Violence,Chicago,IL,9418 Pine St,61,Male,Hispanic,2024,4,21,domingo,8,mañana,abril,Pine St
2022-04-13,17:50:42,Robbery,Chicago,IL,9097 Broadway,38,Non-binary,Black,2022,4,13,miércoles,17,tarde,abril,Broadway
2021-04-11,13:29:16,Robbery,San Antonio,TX,2022 Oak St,60,Female,Other,2021,4,11,domingo,13,tarde,abril,Oak St
2021-05-02,18:27:55,Theft,Philadelphia,PA,2397 Elm St,25,Non-binary,White,2021,5,2,domingo,18,noche,mayo,Elm St
2025-03-22,17:48:24,Burglary,Chicago,IL,6803 Pine St,90,Non-binary,Hispanic,2025,3,22,sábado,17,tarde,marzo,Pine St
2024-11-27,11:13:43,Burglary,San Antonio,TX,841 Oak St,40,Male,Black,2024,11,27,miércoles,11,mañana,noviembre,Oak St
2025-04-18,19:27:42,Vandalism,Los Angeles,CA,5908 Pine St,34,Other,Black,2025,4,18,viernes,19,noche,abril,Pine St
2025-04-29,22:26:29,Theft,San Diego,CA,6420 Pine St,34,Female,Black,2025,4,29,martes,22,noche,abril,Pine St
2020-07-31,12:37:25,Domestic Violence,Philadelphia,PA,960 Pine St,29,Male,Asian,2020,7,31,viernes,12,tarde,julio,Pine St
2022-10-31,21:11:58,Fraud,Houston,TX,5435 Main St,16,Female,Hispanic,2022,10,31,lunes,21,noche,octubre,Main St
2020-12-18,23:44:06,Assault,Dallas,TX,5734 Broadway,41,Male,Other,2020,12,18,viernes,23,noche,diciembre,Broadway
2023-01-05,13:16:06,Domestic Violence,Houston,TX,1677 Elm St,60,Male,Hispanic,2023,1,5,jueves,13,tarde,enero,Elm St
2021-12-15,02:59:11,Burglary,Philadelphia,PA,5657 Main St,71,Non-binary,Other,2021,12,15,miércoles,2,madrugada,diciembre,Main St
2021-08-19,23:22:06,Drug Offense,San Antonio,TX,5146 Broadway,62,Female,Hispanic,2021,8,19,jueves,23,noche,agosto,Broadway
2023-02-27,11:34:52,Vandalism,Phoenix,AZ,62 Oak St,45,Non-binary,Asian,2023,2,27,lunes,11,mañana,febrero,Oak St
2020-10-31,02:59:27,Fraud,Los Angeles,CA,8978 Broadway,66,Other,Hispanic,2020,10,31,sábado,2,madrugada,octubre,Broadway
2024-09-09,06:55:24,Homicide,New York,NY,2205 Maple Ave,25,Female,Black,2024,9,9,lunes,6,mañana,septiembre,Maple Ave
2023-01-22,19:26:08,Burglary,Los Angeles,CA,7051 Broadway,53,Other,Black,2023,1,22,domingo,19,noche,enero,Broadway
2020-10-23,03:32:52,Domestic Violence,Philadelphia,PA,9007 Oak St,67,Female,Hispanic,2020,10,23,viernes,3,madrugada,octubre,Oak St
2021-05-06,12:00:53,Arson,Chicago,IL,6896 Oak St,65,Other,Hispanic,2021,5,6,jueves,12,tarde,mayo,Oak St
2022-05-26,13:22:45,Domestic Violence,Houston,TX,1537 Main St,77,Other,Hispanic,2022,5,26,jueves,13,tarde,mayo,Main St
2021-07-19,22:10:28,Arson,Los Angeles,CA,7582 Elm St,46,Female,Black,2021,7,19,lunes,22,noche,julio,Elm St
2021-09-25,10:45:32,Burglary,Phoenix,AZ,860 Pine St,40,Female,Black,2021,9,25,sábado,10,mañana,septiembre,Pine St
2025-03-20,20:54:05,Homicide,New York,NY,8884 Elm St,51,Other,Hispanic,2025,3,20,jueves,20,noche,marzo,Elm St
2024-03-12,02:04:32,Assault,San Antonio,TX,4791 Broadway,23,Male,Other,2024,3,12,martes,2,madrugada,marzo,Broadway
2024-08-22,19:07:49,Burglary,New York,NY,2071 Main St,69,Other,Black,2024,8,22,jueves,19,noche,agosto,Main St
2024-11-24,22:13:00,Assault,Dallas,TX,8072 Elm St,30,Male,Hispanic,2024,11,24,domingo,22,noche,noviembre,Elm St
2022-09-07,16:30:49,Assault,San Antonio,TX,8122 Main St,30,Non-binary,Asian,2022,9,7,miércoles,16,tarde,septiembre,Main St
2021-08-08,13:23:27,Robbery,Los Angeles,CA,1061 Pine St,36,Non-binary,White,2021,8,8,domingo,13,tarde,agosto,Pine St
2021-01-25,22:41:26,Arson,New York,NY,9898 Main St,52,Male,Hispanic,2021,1,25,lunes,22,noche,enero,Main St
2020-08-26,11:38:13,Burglary,Dallas,TX,2983 Maple Ave,82,Non-binary,White,2020,8,26,miércoles,11,mañana,agosto,Maple Ave
2022-05-22,23:53:37,Drug Offense,Chicago,IL,424 Main St,41,Non-binary,Asian,2022,5,22,domingo,23,noche,mayo,Main St
2023-12-02,05:32:02,Robbery,Houston,TX,3175 Main St,46,Male,Asian,2023,12,2,sábado,5,madrugada,diciembre,Main St
2023-01-07,21:19:28,Assault,Los Angeles,CA,8643 Maple Ave,74,Male,White,2023,1,7,sábado,21,noche,enero,Maple Ave
2022-01-05,15:12:41,Homicide,San Jose,CA,8873 Elm St,56,Male,White,2022,1,5,miércoles,15,tarde,enero,Elm St
2021-07-24,12:26:35,Arson,Houston,TX,393 Elm St,81,Male,Black,2021,7,24,sábado,12,tarde,julio,Elm St
2022-03-26,03:29:57,Arson,Phoenix,AZ,9571 Broadway,64,Other,Other,2022,3,26,sábado,3,madrugada,marzo,Broadway
2023-10-11,04:17:30,Drug Offense,San Diego,CA,2489 Oak St,67,Non-binary,Black,2023,10,11,miércoles,4,madrugada,octubre,Oak St
2025-05-02,19:06:39,Burglary,Dallas,TX,1850 Elm St,20,Other,Asian,2025,5,2,viernes,19,noche,mayo,Elm St
2024-12-18,14:01:18,Assault,Los Angeles,CA,9401 Main St,55,Other,White,2024,12,18,miércoles,14,tarde,diciembre,Main St
2022-04-04,13:14:47,Burglary,Phoenix,AZ,1537 Pine St,14,Male,White,2022,4,4,lunes,13,tarde,abril,Pine St
2020-10-05,08:34:56,Assault,Houston,TX,16 Main St,64,Female,Asian,2020,10,5,lunes,8,mañana,octubre,Main St
2022-02-16,19:15:03,Burglary,San Jose,CA,5164 Oak St,40,Male,White,2022,2,16,miércoles,19,noche,febrero,Oak St
2021-09-09,02:27:51,Arson,San Jose,CA,9566 Broadway,28,Male,Asian,2021,9,9,jueves,2,madrugada,septiembre,Broadway
2023-08-13,04:13:16,Domestic Violence,Philadelphia,PA,9038 Oak St,82,Other,Black,2023,8,13,domingo,4,madrugada,agosto,Oak St
2023-02-09,19:05:25,Domestic Violence,San Antonio,TX,9607 Broadway,34,Female,White,2023,2,9,jueves,19,noche,febrero,Broadway
2023-01-10,23:48:26,Theft,Houston,TX,8155 Elm St,35,Non-binary,Black,2023,1,10,martes,23,noche,enero,Elm St
2020-11-04,14:20:57,Vandalism,Dallas,TX,5617 Oak St,90,Male,Hispanic,2020,11,4,miércoles,14,tarde,noviembre,Oak St
2023-10-24,17:20:03,Domestic Violence,New York,NY,1167 Pine St,74,Non-binary,Other,2023,10,24,martes,17,tarde,octubre,Pine St
2024-06-10,05:35:39,Burglary,San Diego,CA,186 Broadway,14,Male,Asian,2024,6,10,lunes,5,madrugada,junio,Broadway
2020-12-26,09:00:48,Theft,San Antonio,TX,7635 Main St,26,Male,Black,2020,12,26,sábado,9,mañana,diciembre,Main St
2024-08-05,06:56:19,Domestic Violence,Houston,TX,9329 Broadway,33,Other,Other,2024,8,5,lunes,6,mañana,agosto,Broadway
2023-11-14,01:53:10,Assault,San Diego,CA,3412 Main St,27,Male,Black,2023,11,14,martes,1,madrugada,noviembre,Main St
2023-02-14,17:48:45,Robbery,Los Angeles,CA,5325 Elm St,59,Non-binary,White,2023,2,14,martes,17,tarde,febrero,Elm St
